 ,name,region,district,difficulty,duration_days,max_altitude_m,min_altitude_m,total_distance_km,cost_min_usd,cost_max_usd,best_season,requires_permit,permit_type,permit_cost_usd,requires_guide,accommodation_type,cultural_score,nature_score,adventure_score,fitness_required,technical_skill,teahouse_available,camping_required,helicopter_rescue,nearest_hospital_km,route_type,avg_daily_walking_hrs,elevation_gain_m,elevation_loss_m,water_sources,mobile_network,atm_available,description,data_source
1,Everest Base Camp Trek,Khumbu,Solukhumbu,Hard,14,5364,2840,130,1200,2500,Spring|Autumn,Yes,Sagarmatha National Park Entry + TIMS,50,No,Teahouse,0.7,0.95,0.8,High,Basic,Yes,No,Yes,45,Out-and-back,6,3524,3524,Abundant,Partial,No,Classic trek to the base of world's highest peak through Sherpa villages,Nepal Tourism Board
2,Everest Base Camp via Gokyo,Khumbu,Solukhumbu,Hard,18,5545,2840,160,1500,3000,Spring|Autumn,Yes,Sagarmatha National Park Entry + TIMS,50,No,Teahouse,0.65,0.98,0.85,High,Basic,Yes,No,Yes,50,Loop,6,4705,4705,Abundant,Partial,No,Extended EBC trek via stunning turquoise Gokyo Lakes,Nepal Tourism Board
3,Three Passes Trek,Khumbu,Solukhumbu,Very Hard,20,5545,2840,170,1800,3500,Spring|Autumn,Yes,Sagarmatha National Park Entry + TIMS,50,Yes,Teahouse,0.6,0.98,0.95,Very High,Intermediate,Yes,No,Yes,55,Loop,7,6500,6500,Moderate,Limited,No,Ultimate Everest region challenge crossing Kongma La Cho La and Renjo La passes,Nepal Tourism Board
4,Gokyo Lakes Trek,Khumbu,Solukhumbu,Moderate,12,5357,2840,100,1100,2200,Spring|Autumn,Yes,Sagarmatha National Park Entry + TIMS,50,No,Teahouse,0.5,0.96,0.75,High,Basic,Yes,No,Yes,48,Out-and-back,5,2517,2517,Abundant,Partial,No,Trek to sacred turquoise lakes with Gokyo Ri viewpoint,Nepal Tourism Board
5,Kala Patthar Trek,Khumbu,Solukhumbu,Hard,12,5545,2840,125,1200,2400,Spring|Autumn,Yes,Sagarmatha National Park Entry + TIMS,50,No,Teahouse,0.5,0.95,0.8,High,Basic,Yes,No,Yes,45,Out-and-back,6,2705,2705,Abundant,Partial,No,Best viewpoint for Mt Everest sunrise panorama,Nepal Tourism Board
6,Ama Dablam Base Camp,Khumbu,Solukhumbu,Moderate,10,4600,2840,85,1000,2000,Spring|Autumn,Yes,Sagarmatha National Park Entry + TIMS,50,No,Teahouse,0.5,0.92,0.7,High,Basic,Yes,No,Yes,40,Out-and-back,5,1760,1760,Abundant,Partial,No,Trek to base of iconic Ama Dablam peak,Nepal Tourism Board
7,Pikey Peak Trek,Khumbu,Solukhumbu,Easy,7,4065,2400,55,500,1000,Spring|Autumn|Winter,No,TIMS only,20,No,Teahouse,0.75,0.85,0.5,Moderate,Basic,Yes,No,Yes,25,Out-and-back,5,1665,1665,Abundant,Good,No,Short trek with panoramic Himalayan views recommended by Sir Edmund Hillary,Nepal Tourism Board
8,Numbur Cheese Circuit,Khumbu,Solukhumbu,Moderate,10,4636,1500,95,800,1500,Spring|Autumn,No,TIMS only,20,No,Teahouse,0.8,0.85,0.6,Moderate,Basic,Yes,No,Yes,30,Circuit,5,3136,3136,Abundant,Good,No,Cultural Sherpa trek with traditional cheese factory visit,Nepal Tourism Board
9,Phaplu to Lukla Trek,Khumbu,Solukhumbu,Moderate,5,2860,2400,45,400,800,Spring|Autumn|Winter,No,TIMS only,20,No,Teahouse,0.7,0.8,0.5,Moderate,Basic,Yes,No,Yes,20,Point-to-point,5,460,460,Abundant,Good,Yes,Alternative approach to Everest region avoiding Lukla flight,Nepal Tourism Board
10,Mera Peak Approach,Khumbu,Solukhumbu,Hard,8,5000,2800,70,1200,2200,Spring|Autumn,Yes,Makalu Barun Entry + TIMS,50,Yes,Teahouse,0.4,0.9,0.85,High,Basic,Yes,No,Yes,50,Out-and-back,6,2200,2200,Moderate,Limited,No,Approach trek for Nepal's highest trekking peak,Nepal Tourism Board
